,Unnamed: 0,ticker,ep,roa,sector,price,currency,roa_place,ep_place,total_place
681,1115,VALE,51.91859346964577,105.2710129974628,Basic Materials,17.425,USD,109,4,113
1037,1663,AN,12.869769557046032,339.5046691027203,Consumer Cyclical,111.12,USD,32,91,123
174,285,ASO,14.057037658298576,207.78887415342305,Consumer Cyclical,35.62,USD,55,75,130
1034,1657,NRG,12.76252608682128,220.1038961038961,Utilities,39.09,USD,51,92,143
742,1214,ZIM,38.07026777333297,89.38170019720876,Industrials,72.7525,USD,133,11,144
1086,1737,FESH.ME,15.428611921726525,119.2172094412907,Industrials,29.36,RUB,95,56,151
142,230,LPX,28.83794807595548,89.207258834766,Industrials,68.89,USD,134,18,152
803,1309,RNFT.ME,12.91982847040663,188.92996838664735,Energy,157.0,RUB,62,90,152
234,387,LH,12.2322964391978,205.0182984910012,Healthcare,262.77,USD,57,98,155
228,378,HOLX,11.734308264021228,222.05054925426452,Healthcare,70.23,USD,49,106,155
855,1385,OLN,10.11482575485919,556.6001534919417,Basic Materials,52.59,USD,23,142,165
329,556,APAM,16.021725967744864,103.2447122911275,Financial Services,40.27,USD,113,53,166
895,1432,MATX,14.270925719986783,103.04846274101094,Industrials,88.995,USD,114,71,185
584,947,SWBI,43.21748744269503,64.84489973106706,Industrials,17.3,USD,185,5,190
974,1557,PATK,9.529334226524435,290.6648825727864,Consumer Cyclical,71.18,USD,39,156,195
561,909,MBUU,9.625493175085756,226.2572029014982,Consumer Cyclical,68.03,USD,47,151,198
414,708,HIBB,22.32216641612196,64.43897595302853,Consumer Cyclical,54.55,USD,187,25,212
493,818,CCSI,20.27116858027292,63.66783287002293,Technology,57.595,USD,190,30,220
388,665,TSN,11.030446320950087,115.84778420038536,Consumer Defensive,94.375,USD,99,124,223
14,26,WHR,10.532448359980318,135.84117032392896,Consumer Cyclical,202.42,USD,88,135,223
595,969,GPI,14.430591477090582,70.97379875394726,Consumer Cyclical,177.93,USD,161,69,230
2,4,WGO,15.102299805400964,68.82463289425395,Consumer Cyclical,68.41,USD,167,65,232
12,20,QDEL,29.693981263996,56.24372040669008,Healthcare,95.39,USD,220,17,237
956,1529,THO,11.078151430121592,99.85067501085702,Consumer Cyclical,95.455,USD,118,121,239
204,341,FLGT,39.932139744127845,53.17278954468212,Healthcare,65.53,USD,235,7,242
836,1358,VSCO,7.154233465486367,3847.058823529412,Consumer Cyclical,60.45,USD,6,245,251
160,256,UGI,9.76778060580544,111.54306220095694,Utilities,38.17,USD,103,148,251
484,804,SLVM,9.812770987024283,110.43956043956044,Basic Materials,39.83,USD,104,147,251
280,472,SBH,9.961799938043963,105.75126522868482,Consumer Cyclical,18.795,USD,108,145,253
599,974,TASK,7.265785642527808,1352.706907280647,Technology,31.9,USD,12,241,253
674,1107,ABG,11.162287769477116,86.12608096252663,Consumer Cyclical,182.27,USD,136,120,256
626,1026,PRG,19.868186086270832,54.075905124343215,Industrials,37.3475,USD,230,31,261
351,605,REZI,8.84469151926413,129.2207792207792,Industrials,26.04,USD,91,174,265
786,1282,EPC,7.707054024354319,245.6140350877193,Consumer Defensive,37.09,USD,45,220,265
715,1161,ATKR,13.96685123136171,60.659803179409536,Industrials,107.185,USD,199,77,276
394,671,HEN3.DE,10.407650187243728,82.80986153326579,Consumer Defensive,73.18,EUR,141,137,278
470,777,DKS,17.415773692514673,53.5131171363464,Consumer Cyclical,109.54,USD,234,48,282
77,103,LOW,6.6110226684407625,821.5317011927182,Consumer Cyclical,227.24,USD,16,273,289
1029,1647,MMM,6.738800645341962,358.572710951526,Industrials,155.63,USD,29,263,292
384,660,AMG,8.339609790533311,114.17978208232446,Financial Services,147.99,USD,102,193,295
833,1353,STLA,8.21110596055571,116.3527397260274,Consumer Cyclical,19.605,USD,98,199,297
332,566,PHOR.ME,12.460777966563628,59.37166607933343,Basic Materials,6170.0,RUB,205,96,301
497,823,BLDR,10.819331925585466,67.9066626492998,Industrials,70.275,USD,174,128,302
499,825,NKHP.ME,18.205951020243678,45.09459527447087,Industrials,295.5,RUB,267,40,307
874,1423,PMSBP.ME,25.458952546972093,41.32714908901455,Utilities,135.4,RUB,288,22,310
421,721,WSM,10.109093891812156,68.7419682719401,Consumer Cyclical,149.9,USD,169,143,312
349,601,LEG,6.233496570149553,1173.752711496746,Consumer Cyclical,39.42,USD,13,300,313
140,228,NGVT,8.210615674327993,101.71842025927045,Basic Materials,66.105,USD,116,200,316
1047,1677,BBY,9.244044291715554,72.6054054054054,Consumer Cyclical,99.63,USD,157,165,322
1009,1616,FLWS,12.059874038828276,55.82468824700022,Consumer Cyclical,15.8,USD,223,100,323
704,1129,PAG,7.446063021824998,133.31542181622785,Consumer Cyclical,101.94,USD,89,234,323
737,1205,FBHS,6.481021573754791,283.30294347486324,Consumer Cyclical,91.56,USD,41,284,325
356,612,IAA,6.040900829174243,613.456090651558,Industrials,36.62,USD,21,311,332
410,699,VEC,6.903836025009766,151.81389896007468,Industrials,44.01,USD,74,258,332
27,47,CROX,9.208236748055567,68.94976860909104,Consumer Cyclical,96.93,USD,166,166,332
20,35,STX,5.852730294727512,1542.0168067226891,Technology,109.29,USD,11,325,336
991,1584,MRNA,11.393593932778373,55.99589464390819,Healthcare,151.81,USD,222,114,336
40,67,MUSA,7.2355528750245774,118.234912394549,Consumer Cyclical,178.915,USD,96,243,339
333,567,PII,7.4339750259068,107.27511490479318,Consumer Cyclical,126.045,USD,106,235,341
236,390,DPW.DE,7.207448066345225,114.98115577889448,Industrials,51.11,EUR,101,244,345
233,386,M,8.42584035360432,72.12007504690432,Consumer Cyclical,26.2499,USD,159,189,348
641,1053,ET,9.20303029575648,65.15926972729356,Energy,10.195,USD,181,167,348
145,235,NUE,15.421055557634803,40.4603971229096,Basic Materials,121.8192,USD,294,57,351
371,634,MED,9.322199239468812,61.647952767843606,Consumer Cyclical,189.725,USD,194,160,354
373,642,RRR,8.213845997477842,72.7820767518704,Consumer Cyclical,53.04,USD,156,198,354
230,383,AES,6.383729358387423,188.3461270062805,Utilities,21.725,USD,63,291,354
809,1316,AKRN.ME,9.8523344872704,58.13064983796691,Basic Materials,15810.0,RUB,210,146,356
1083,1731,PMSB.ME,14.307612065777889,41.32714908901455,Utilities,130.5,RUB,289,70,359
492,817,MRVI,8.255245551714301,70.38479689982252,Healthcare,32.235,USD,162,197,359
219,362,JHG,13.44913238941376,42.905606748269385,Financial Services,35.33,USD,279,82,361
312,532,STLD,17.923191084178384,35.862210445259365,Basic Materials,64.29,USD,320,44,364
179,294,ACH,14.07302391944813,41.15273732793353,Basic Materials,16.55,USD,291,74,365
569,920,TTLK.ME,21.514819750728456,33.831472117231144,Communication Services,0.615,RUB,340,27,367
193,319,SMG,6.549445886636347,128.87819962205808,Basic Materials,143.84,USD,92,279,371
1119,1797,MGY,10.687428020362304,50.06721895211104,Energy,20.3,USD,244,131,375
959,1533,RGR,16.180097164313175,35.4254406557678,Industrials,67.405,USD,324,52,376
369,632,STZ,5.879479581657332,206.78538748504255,Consumer Defensive,220.71,USD,56,321,377
327,554,SFM,7.612091173137604,76.45388147080496,Consumer Defensive,29.07,USD,153,225,378
32,53,MRK,6.316169717533435,141.3127413127413,Healthcare,77.5,USD,83,296,379
1013,1623,CE,8.553849398179718,61.1244019138756,Basic Materials,156.09,USD,197,184,381
368,631,VSTO,16.657530888901874,34.39340166659813,Consumer Cyclical,36.56,USD,333,51,384
34,55,MAS,5.669809574651989,275.4521963824289,Industrials,58.12,USD,42,353,395
662,1090,LYB,11.376501193985238,42.438993551650015,Basic Materials,102.675,USD,285,115,400
607,994,PVH,5.422116915985551,718.019801980198,Consumer Cyclical,100.45,USD,18,383,401
485,806,UHS,9.071529303487203,53.06765273759342,Healthcare,134.825,USD,236,170,406
109,162,ENPG.ME,17.097826952161107,32.378655411516434,Basic Materials,989.0,RUB,359,49,408
28,48,TRGP,5.255716600650088,4888.803088803089,Energy,63.315,USD,5,404,409
202,339,TPR,7.900985460486258,61.02964118564742,Consumer Cyclical,40.86,USD,198,212,410
172,278,DVN,9.31796865324603,49.57832002698751,Energy,55.34,USD,249,161,410
610,1003,KZOSP.ME,234.67937625073716,27.813613704642272,Basic Materials,25.0,RUB,413,1,414
779,1266,DOW,8.130545900240591,58.31704138155751,Basic Materials,62.52,USD,209,206,415
103,149,KTB,7.240841454761708,65.715853487096,Consumer Cyclical,48.67,USD,179,242,421
925,1484,FNKO,7.755245155775718,59.82008202143141,Consumer Cyclical,17.99,USD,204,219,423
900,1438,SCCO,9.313117823678477,46.51993996036057,Basic Materials,68.3773,USD,263,162,425
370,633,RUSP.ME,19.070431477829786,29.144971161533427,Industrials,0.747,RUB,391,34,425
875,1425,DDS,15.216170192616078,31.74103495233772,Consumer Cyclical,256.235,USD,365,61,426
18,33,PFE,5.726768459520975,136.60976677296318,Healthcare,49.93,USD,87,345,432
